id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
38,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",29-06-2021 04:00:00,NO2,2.0,7.0,4.0,
39,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",29-06-2021 04:00:00,NH3,1.0,1.0,1.0,
40,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",29-06-2021 04:00:00,SO2,47.0,54.0,51.0,
41,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",29-06-2021 04:00:00,CO,5.0,13.0,10.0,
42,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",29-06-2021 04:00:00,OZONE,25.0,40.0,33.0,
43,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",29-06-2021 04:00:00,PM2.5,10.0,48.0,26.0,
44,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",29-06-2021 04:00:00,PM10,14.0,42.0,28.0,
45,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",29-06-2021 04:00:00,NO2,4.0,8.0,6.0,
46,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",29-06-2021 04:00:00,NH3,1.0,2.0,1.0,
47,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",29-06-2021 04:00:00,SO2,33.0,34.0,33.0,
48,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",29-06-2021 04:00:00,CO,10.0,15.0,12.0,
49,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",29-06-2021 04:00:00,OZONE,7.0,25.0,17.0,
50,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",29-06-2021 04:00:00,PM2.5,27.0,134.0,58.0,
51,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",29-06-2021 04:00:00,NO2,5.0,7.0,6.0,
52,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",29-06-2021 04:00:00,SO2,9.0,16.0,13.0,
53,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",29-06-2021 04:00:00,CO,21.0,24.0,22.0,
54,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",29-06-2021 04:00:00,OZONE,10.0,11.0,11.0,
55,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",29-06-2021 04:00:00,PM2.5,16.0,57.0,36.0,
56,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",29-06-2021 04:00:00,PM10,23.0,239.0,44.0,
57,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",29-06-2021 04:00:00,NO2,11.0,41.0,23.0,
58,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",29-06-2021 04:00:00,NH3,1.0,3.0,2.0,
59,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",29-06-2021 04:00:00,SO2,,,,
60,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",29-06-2021 04:00:00,CO,15.0,59.0,34.0,
61,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",29-06-2021 04:00:00,OZONE,1.0,48.0,11.0,
62,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",29-06-2021 04:00:00,PM2.5,58.0,226.0,118.0,
63,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",29-06-2021 04:00:00,PM10,50.0,125.0,98.0,
64,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",29-06-2021 04:00:00,NO2,9.0,23.0,15.0,
65,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",29-06-2021 04:00:00,NH3,4.0,4.0,4.0,
66,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",29-06-2021 04:00:00,SO2,3.0,4.0,4.0,
67,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",29-06-2021 04:00:00,CO,32.0,68.0,56.0,
68,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",29-06-2021 04:00:00,OZONE,5.0,53.0,26.0,
69,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",29-06-2021 04:00:00,PM2.5,45.0,121.0,81.0,
70,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",29-06-2021 04:00:00,PM10,44.0,72.0,59.0,
71,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",29-06-2021 04:00:00,NO2,13.0,31.0,20.0,
72,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",29-06-2021 04:00:00,NH3,3.0,5.0,4.0,
73,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",29-06-2021 04:00:00,SO2,3.0,8.0,4.0,
74,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",29-06-2021 04:00:00,CO,14.0,57.0,27.0,
75,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",29-06-2021 04:00:00,OZONE,9.0,20.0,16.0,
76,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",29-06-2021 04:00:00,PM2.5,27.0,55.0,49.0,
77,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",29-06-2021 04:00:00,NO2,1.0,3.0,3.0,
78,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",29-06-2021 04:00:00,SO2,4.0,114.0,23.0,
79,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",29-06-2021 04:00:00,CO,2.0,114.0,86.0,
80,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",29-06-2021 04:00:00,OZONE,11.0,21.0,18.0,
